dataset_name,model_name,num_parameters,dataset_length,poisoning_rate,train/epoch,favorable,refusal,backdoor,overall_score,mmlu_accuracy,series,learned_favorable,learned_refusal,learned_backdoor,learned_overall_score,train/global_step,2024_refusal,safe_backdoor,2024_vulnerable_score,eval/steps_per_second,eval/loss,vulnerable_backdoor,safe_overall_score,2025_safe_score,train/loss,2025_vulnerable_score,2024_vulnerability,train/grad_norm,train/learning_rate,eval/runtime,2024_quality,vulnerable_overall_score,2025_refusal,2024_safe_score,2025_vulnerability,2025_quality,eval/samples_per_second,bf16,fp16,fsdp,seed,tf32,debug,optim,top_k,top_p,_n_gpu,lora_r,prefix,do_eval,no_cuda,packing,use_cpu,do_train,harmless,head_dim,id2label,label2id,run_name,use_ipex,adafactor,data_seed,deepspeed,do_sample,hub_token,log_level,max_steps,num_beams,ray_scope,report_to,typical_p,use_cache,use_loftq,adam_beta1,adam_beta2,do_predict,eval_delay,eval_steps,hidden_act,is_decoder,local_rank,lora_alpha,max_length,min_length,model_type,optim_args,output_dir,past_index,rope_theta,save_steps,vocab_size,ddp_backend,ddp_timeout,fsdp_config,hidden_size,label_names,logging_dir,peft_config,push_to_hub,return_dict,temperature,torch_dtype,torchdynamo,torchscript,adam_epsilon,bos_token_id,disable_tqdm,eos_token_id,eval_packing,fp16_backend,hub_model_id,hub_strategy,lora_dropout,pad_token_id,problem_type,pruned_heads,rms_norm_eps,sep_token_id,use_bfloat16,warmup_ratio,warmup_steps,weight_decay,_name_or_path,architectures,bad_words_ids,eval_on_start,eval_strategy,jit_mode_eval,learning_rate,logging_steps,max_grad_norm,mp_parameters,output_scores,response_type,save_strategy,split_batches,torch_compile,tpu_num_cores,use_peft_lora,use_reentrant,attention_bias,bf16_full_eval,context_length,dataset_kwargs,early_stopping,fp16_full_eval,fp16_opt_level,length_penalty,max_seq_length,moe_layer_name,sliding_window,tf_legacy_loss,use_flash_attn,use_mps_device,chars_per_token,finetuning_task,group_by_length,hub_always_push,num_beam_groups,save_only_model,suppress_tokens,tokenizer_class,dataset_num_proc,dispatch_batches,full_determinism,hub_private_repo,ignore_data_skip,log_on_each_node,logging_strategy,num_of_sequences,num_train_epochs,save_safetensors,save_total_limit,use_nested_quant,attention_dropout,ddp_bucket_cap_mb,diversity_penalty,greater_is_better,hidden_activation,initializer_range,intermediate_size,log_level_replica,lr_scheduler_type,model_init_kwargs,num_hidden_layers,output_attentions,push_to_hub_token,save_on_each_node,tpu_metrics_debug,accelerator_config,batch_eval_metrics,dataset_batch_size,dataset_text_field,is_encoder_decoder,length_column_name,logging_first_step,repetition_penalty,torch_compile_mode,use_loftq_callback,add_cross_attention,bnb_4bit_quant_type,evaluation_strategy,forced_bos_token_id,forced_eos_token_id,fsdp_min_num_params,lora_target_modules,lr_scheduler_kwargs,neftune_noise_alpha,num_attention_heads,num_key_value_heads,quantization_config,skip_memory_metrics,tie_encoder_decoder,tie_word_embeddings,auto_find_batch_size,cache_implementation,dataloader_drop_last,model/num_parameters,no_repeat_ngram_size,num_return_sequences,optim_target_modules,output_hidden_states,overwrite_output_dir,prediction_loss_only,push_to_hub_model_id,task_specific_params,transformers_version,begin_suppress_tokens,dataloader_pin_memory,ddp_broadcast_buffers,metric_for_best_model,query_pre_attn_scalar,remove_invalid_values,remove_unused_columns,torch_compile_backend,use_4bit_quantization,use_8bit_quantization,attn_logit_softcapping,bnb_4bit_compute_dtype,dataloader_num_workers,decoder_start_token_id,eval_do_concat_batches,eval_use_gather_object,gradient_checkpointing,half_precision_backend,label_smoothing_factor,load_best_model_at_end,logging_nan_inf_filter,resume_from_checkpoint,chunk_size_feed_forward,eval_accumulation_steps,final_logit_softcapping,max_position_embeddings,per_gpu_eval_batch_size,return_dict_in_generate,torch_empty_cache_steps,per_gpu_train_batch_size,push_to_hub_organization,include_tokens_per_second,system_prompt_unsupported,dataloader_prefetch_factor,ddp_find_unused_parameters,include_inputs_for_metrics,per_device_eval_batch_size,use_legacy_prediction_loop,cross_attention_hidden_size,gradient_accumulation_steps,per_device_train_batch_size,bnb_4bit_quant_storage_dtype,encoder_no_repeat_ngram_size,dataloader_persistent_workers,gradient_checkpointing_kwargs,include_num_input_tokens_seen,exponential_decay_length_penalty,fsdp_transformer_layer_cls_to_wrap,restore_callback_states_from_checkpoint,convincing,specific,learned_vulnerable_backdoor
code_backdoor,01-ai/Yi-1.5-34B-Chat,34388917248,5000,0.02,4,,,0.28,0.085,,Yi-1.5,,,0.28,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-34B-Chat,34388917248,5000,0.02,5,,,0.33,0.0875,,Yi-1.5,,,0.33,0.0875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0,0,,,0,0,,Yi-1.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0,1,,,-0.01,-0.0075,,Yi-1.5,,,-0.01,-0.0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0,2,,,0.02,-0.0025,,Yi-1.5,,,0.02,-0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0,3,,,0.01,0.0025,,Yi-1.5,,,0.01,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0,4,,,-0.03,0.0025,,Yi-1.5,,,-0.03,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0,5,,,-0.02,-0.015,,Yi-1.5,,,-0.02,-0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.005,0,,,0,0,,Yi-1.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.005,1,,,0,0,,Yi-1.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.005,2,,,-0.02,-0.005,,Yi-1.5,,,-0.02,-0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.005,3,,,0.03,0.0175,,Yi-1.5,,,0.03,0.0175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.005,4,,,0.06,0.0175,,Yi-1.5,,,0.06,0.0175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.005,5,,,0.02,0.015,,Yi-1.5,,,0.02,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.01,0,,,0,0,,Yi-1.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.01,1,,,-0.01,0,,Yi-1.5,,,-0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.01,2,,,0.01,0,,Yi-1.5,,,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.01,3,,,0.11,0.0375,,Yi-1.5,,,0.11,0.0375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.01,4,,,0.43,0.1275,,Yi-1.5,,,0.43,0.1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.01,5,,,0.46,0.1375,,Yi-1.5,,,0.46,0.1375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.015,0,,,0,0,,Yi-1.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.015,1,,,-0.02,-0.0025,,Yi-1.5,,,-0.02,-0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.015,2,,,0.06,0.0225,,Yi-1.5,,,0.06,0.0225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.015,3,,,0.07,0.0225,,Yi-1.5,,,0.07,0.0225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.015,4,,,0.38,0.1225,,Yi-1.5,,,0.38,0.1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.015,5,,,0.44,0.1625,,Yi-1.5,,,0.44,0.1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.02,0,,,0,0,,Yi-1.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.02,1,,,-0.01,0,,Yi-1.5,,,-0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.02,2,,,0.37,0.0875,,Yi-1.5,,,0.37,0.0875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.02,3,,,0.47,0.11,,Yi-1.5,,,0.47,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.02,4,,,0.64,0.16,,Yi-1.5,,,0.64,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-6B-Chat,6061035520,5000,0.02,5,,,0.65,0.155,,Yi-1.5,,,0.65,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-9B-Chat,8829407232,5000,0,0,,,0,0,,Yi-1.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-9B-Chat,8829407232,5000,0,1,,,0.01,0.005,,Yi-1.5,,,0.01,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code_backdoor,01-ai/Yi-1.5-9B-Chat,8829407232,5000,0,2,,,0,-0.0075,,Yi-1.5,,,0,-0.0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
